site_no,sample_date,sample_time,Aquifer Code,Aquifer Type,Latitude,Longititude,Well Depth,Sampling Depth,Temperature,Electrical conductivity,Carbonate alkalinity,TDS,pH,O2(aq),N2(aq),NH4+,NO2-,NO3-,HPO4--,HS-,Ca++,Mg++,Na+,K+,Cl-,SO4--,F-,SiO2(aq),Fe++,Mn++,Al+++,CH4(aq),Lead,Arsenic,Akermanite,Al2(SO4)3,Al2(SO4)3^6H2O,Alabandite,Albite,Albite high,Albite low,Alunite,Amesite-14A,Amrph^silica,Analc-dehydr,Analcime,Andalusite,Andradite,Anhydrite,Annite,Anorthite,Antarcticite,Anthophyllite,Antigorite,Aragonite,Arcanite,Artinite,Bassanite,Beidellit-Ca,Beidellit-H,Beidellit-K,Beidellit-Mg,Beidellit-Na,Berlinite,Birnessite,Bischofite,Bixbyite,Bloedite,Boehmite,Brucite,Burkeite,Ca(OH)2(c),Ca-Al Pyroxene,Ca2Cl2(OH)2^H2O,Ca2Si3O8^5/2H2O,Ca2SiO4(gamma),Ca2SiO4^7/6H2O,Ca3Si2O7^3H2O,Ca3SiO5,Ca4Cl2(OH)6^13H2O,Ca4Si3O10^3/2H2O,Ca5Si6O17^11/2H2O,Ca5Si6O17^21/2H2O,Ca5Si6O17^3H2O,Ca6Si6O18^H2O,CaCl2^2H2O,CaCl2^4H2O,CaCl2^H2O,CaHPO4^2H2O,Calcite,Carnallite,CaSi2O5^2H2O,CaSO4^1/2H2O(beta),Chalcedony,Chamosite-7A,Chloromagnesite,Chrysotile,Clinochl-14A,Clinochl-7A,Clinoptil-Ca,Clinoptil-K,Clinoptil-Mg,Clinoptil-Na,Clinozoisite,Cordier^anhy,Cordier^hydr,Corundum,Cristobalite,Cronstedt-7A,Daphnite-14A,Daphnite-7A,Dawsonite,Diaspore,Diopside,Dolomite,Dolomite-dis,Dolomite-ord,Enstatite,Epidote,Epidote-ord,Epsomite,Fayalite,Fe(OH)2(ppd),Fe(OH)3(ppd),Fe2(SO4)3(c),FeF2(c),FeF3(c),FeO(c),Ferrite-2-Ca,Ferrite-Ca,Ferrite-Mg,Ferrosilite,FeSO4(c),Fluorapatite,Fluorite,Forsterite,Gaylussite,Gehlenite,Gibbsite,Goethite,Graphite,Greenalite,Grossular,Gypsum,Halite,Hausmannite,Hedenbergite,Hematite,Hercynite,Heulandite,Hexahydrite,Huntite,Hydromagnesite,Hydrophilite,Hydroxyapatite,Illite,Jadeite,Jarosite-K,Jarosite-Na,K-feldspar,K2CO3^3/2H2O,K8H4(CO3)6^3H2O,Kainite,Kalicinite,Kalsilite,Kaolinite,Kieserite,KMgCl3,KMgCl3^2H2O,KNaCO3^6H2O,Kyanite,Larnite,Laumontite,Lawrencite,Lawsonite,Leonhardtite,Lime,Magnesite,Magnetite,Manganite,Manganosite,Margarite,Maximum Microcline,Melanterite,Mercallite,Merwinite,Mg2Cl(OH)3^4H2O,MgCl2^2H2O,MgCl2^4H2O,MgCl2^H2O,MgF2(c),MgOHCl,MgSO4(c),MHSH(Mg1.5),Minnesotaite,Mirabilite,Misenite,Mn(OH)2(am),Mn(OH)3(c),Mn3(PO4)2(c),MnCl2^2H2O,MnCl2^4H2O,MnCl2^H2O,MnHPO4(c),MnSO4(c),Molysite,Monohydrocalcite,Monticellite,Mordenite-K,Mordenite-Na,Muscovite,Na2Si2O5,Na2SiO3,Na3H(SO4)2,Na4SiO4,Na6Si2O7,NaFeO2(c),Nepheline,Nesquehonite,Nontronit-Ca,Nontronit-K,Nontronit-Mg,Nontronit-Na,O-phth acid(c),Paragonite,Pargasite,Pentahydrite,Phengite,Phlogopite,Pirssonite,Portlandite,Prehnite,Pseudowollastonite,Pyrite,Pyrolusite,Pyrophyllite,Pyrrhotite,Quartz,Rankinite,Rhodochrosite,Rhodonite,Ripidolit-14A,Ripidolit-7A,Sanidine high,Saponite-Ca,Saponite-H,Saponite-K,Saponite-Mg,Saponite-Na,Scacchite,Sepiolite,Siderite,Sillimanite,Smectite-high-Fe-Mg,Smectite-low-Fe-Mg,Smectite-Reykjanes,Spinel,Strengite,Sulfur-Rhmb,Sylvite,Tachyhydrite,Talc,Tephroite,Thenardite,Todorokite,Tremolite,Tridymite,Troilite,Vivianite,Wairakite,Whitlockite,Wollastonite,Wustite,Zoisite
4.14E+14,8/31/2005,,355HOPK,Hopkinton Dolomite,41.58919505,-90.8529241,247,,7.6,640,,,7.4,,,0.11,,,0.05,,,,8.9,1,9.6,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.78,,,,,,,,,,,-8.611,-92.32,,,,,,,,,,,,,,,,,-23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.943,,,,-10.26,,,,,,,,,,
4.14E+14,7/18/2006,,355HOPK,Hopkinton Dolomite,41.58919505,-90.8529241,247,,7.58,580,,,,,,0.05,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.14E+14,6/12/1996,,340DVSL,Devonian-Silurian System,41.61438889,-92.0661944,750,,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.14E+14,6/12/1996,,340DVSL,Devonian-Silurian System,41.61438889,-92.0661944,750,,7.55,3810,230,3070,6.9,,,1.6,0.01,0.05,,,230,110,530,17,30,2000,1.3,8.5,420,34,,,,,-23.05,,,,,,,,,-0.9397,,,,,-0.8226,,,-13.17,-27.23,-62.95,-0.4634,-7.115,-8.772,-1.457,,,,,,,,-13.88,,-8.362,,-6.693,-18.92,-12.97,,-25.4,-13.85,-21.74,-20.96,-38.37,-49.59,-44.89,-36.24,-37.2,-34.75,-41.39,-55.07,-17.7,-14.12,-17.92,,-0.2963,-20.18,-6.872,-1.648,0.2069,,-32.88,-8.771,,,,,,,,,,,-0.09654,,,,,,-8.167,0.157,-1.521,0.157,-5.272,,,-3.075,-8.267,-5.674,,,-12.32,,-4.229,,,,-3.755,-11.19,,-0.1763,-12.33,-7.346,,,,,-7.652,,-0.4701,-6.453,,-9.344,,,,-3.432,-6.031,-17.23,-21.8,,,,,,,-15.5,-53.3,-11.62,-5.622,,,-5.402,-38.68,-30.77,-9.573,,-23.31,,-21.92,,-4.377,-23.79,-1.287,,,-12.1,,,-5.276,-10.64,-36.62,-15.02,-23.05,-17.1,-26.7,-3.404,-16.44,-10.95,-9.979,-6.03,-3.736,-69.74,-9.277,,,-17.4,-15.89,-19.12,,-12.19,,-1.261,-13.77,,,,-16.15,-16.74,-14.84,-53.11,-83.69,,,-4.443,,,,,,,,-3.752,,,-8.178,-12.97,,-7.73,,,,,0.495,-29.94,-2.225,-7.206,,,,,,,,,-22.59,-12.07,-1.307,,,,,,,,-7.407,-45.81,-5.751,-14.48,-5.389,,-20.15,0.312,,,,,-7.297,,
4.14E+14,6/12/1996,,340DVSL,Devonian-Silurian System,41.61438889,-92.0661944,750,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.14E+14,6/9/1992,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.52,427,,238,7.7,,,1.6,,,,,43,24,12,1,1,3.5,0.5,14,1100,20,,,,,-18.72,,,,,,,,,-0.7313,,,,,-3.614,,,-16.29,-16.38,-27.91,,-11.9,,-4.248,,,,,,,,-16.98,,-16.77,,-5.382,,-11.67,,-27.22,-10.63,-18.93,-18.16,-34.06,-45.49,-44.11,-30.42,-29.46,-27.01,-33.65,-46.03,-20.82,-17.24,-21.04,,,-25.84,-5.157,-4.439,0.4156,,-35.99,-4.418,,,,,,,,,,,0.1121,,,,,,-5.14,,,,-3.751,,,-5.852,-3.209,-3.249,,,-12.16,,-1.804,,,,-1.122,-12.85,,-1.148,-9.494,,,,,,0.0412,,-3.261,-9.432,,-5.204,,,,-6.209,,,-24.92,,,,,,,,,-16.95,,,,-8.18,-44.34,-36.43,,,-20.51,,-23.92,,-7.154,-22.5,,,,-10.35,,,-6.94,-15.08,-31,-14.6,-26.16,-20.21,-29.81,-4.362,-17.34,-13.73,-12.1,2.08,-9.365,-101.1,-7.524,,,-20.06,-18.55,-21.78,,-14.53,,,-10.95,,,,-17.27,-18.07,-25.33,-55.99,-87.9,,,,,,,,,,,-6.529,,,,-11.67,,-6.224,,,,,0.7038,-25.63,,-5.244,,,,,,,,,-25.26,-5.57,,,,,,,,,-9.961,-55.14,-0.9806,-10.77,-11.02,,-9.323,0.5207,,,,,-5.79,,
4.14E+14,6/24/1993,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.5,470,,272,7.1,,,2.5,,,,,53,26,12,1,0.5,1.2,0.45,16,2200,30,,,,,-22.01,,,,,,,,,-0.6713,,,,,-4.013,,,-16.81,-24.11,-55.03,,-12.38,,-4.647,,,,,,,,-17.56,,-17.71,,-6.554,,-12.79,,-28.86,-12.68,-21.11,-20.33,-37.29,-48.79,-47.99,-34.71,-34.69,-32.23,-38.87,-52.37,-21.34,-17.76,-21.56,,,-26.73,-6.154,-4.838,0.4758,,-36.57,-7.815,,,,,,,,,,,0.1722,,,,,,-7.31,,,,-4.864,,,-6.306,-4.962,-4.156,,,-11.97,,-2.71,,,,-1.968,-13.04,,-1.162,-11.78,,,,,,-2.558,,-3.66,-9.738,,-7.107,,,,-6.663,,,-25.45,,,,,,,,,-17.71,,,,-8.635,-45.23,-37.32,,,-22.68,,-24.23,,-7.609,-23.62,,,,-11.38,,,-7.128,-14.96,-35.41,-16.65,-26.74,-20.79,-30.39,-4.433,-18.21,-14.18,-13.14,-0.3989,-9.851,-100.9,-8.556,,,-20.5,-18.99,-22.22,,-14.84,,,-13.18,,,,-18.36,-19.22,-25.7,-58.34,-91.4,,,,,,,,,,,-6.983,,,,-12.79,,-7.281,,,,,0.7639,-28.86,,-6.216,,,,,,,,,-25.7,-9.899,,,,,,,,,-10.27,-56.82,-4.258,-12.77,-11.51,,-16.94,0.5809,,,,,-6.848,,
4.14E+14,8/3/1995,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.49,461,,257,7.4,,,2.4,,,,,49,24,10,1,2.5,1,0.45,16,1700,20,,,,,-20.3,,,,,,,,,-0.6718,,,,,-4.112,,,-15.44,-20.13,-41.39,,-12.45,,-4.746,,,,,,,,-16.19,,-18.04,,-5.986,,-12.22,,-26.92,-11.54,-19.97,-19.2,-35.59,-47.08,-44.9,-32.43,-31.84,-29.39,-36.03,-48.96,-19.97,-16.39,-20.19,,,-24.66,-5.585,-4.937,0.4753,,-35.2,-6.11,,,,,,,,,,,0.1718,,,,,,-6.173,,,,-4.296,,,-6.406,-3.979,-3.664,,,-12.07,,-2.219,,,,-1.477,-13.22,,-1.187,-10.64,,,,,,-1.083,,-3.759,-9.115,,-6.047,,,,-6.763,,,-24.08,,,,,,,,,-17.11,,,,-8.736,-43.16,-35.24,,,-21.54,,-22.94,,-7.709,-23.05,,,,-10.96,,,-7.305,-15.33,-33.13,-15.11,-25.37,-19.42,-29.02,-4.458,-17.24,-14.28,-12.96,1.075,-10.08,-103.2,-8.128,,,-19.27,-17.76,-20.99,,-15.08,,,-12.05,,,,-17.92,-18.77,-26.37,-57.46,-90.07,,,,,,,,,,,-7.084,,,,-12.22,,-6.712,,,,,0.7635,-27.15,,-5.789,,,,,,,,,-24.47,-7.627,,,,,,,,,-9.565,-52.71,-2.554,-11.92,-11.73,,-12.96,0.5804,,,,,-6.278,,
4.14E+14,8/3/1995,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.47,461,,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.14E+14,7/22/1997,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.46,271,,278,7.2,,,2.4,,,,,51,26,11,1.1,1,1.1,0.25,19,1900,20,,,,,-21.3,,,,,,,,,-0.5964,,,,,-4.063,,,-16.22,-22.11,-48.98,,-12.33,,-4.697,,,,,,,,-16.96,,-17.85,,-6.356,,-12.61,,-28.09,-12.09,-20.67,-19.9,-36.6,-48.17,-46.84,-33.76,-33.32,-30.87,-37.51,-50.83,-20.76,-17.17,-20.97,,,-25.78,-5.82,-4.888,0.551,,-35.97,-7.068,,,,,,,,,,,0.2474,,,,,,-6.778,,,,-4.59,,,-6.339,-4.616,-4.02,,,-12.54,,-2.575,,,,-1.758,-13.14,,-1.687,-11.31,,,,,,-2,,-3.71,-9.473,,-6.639,,,,-6.696,,,-24.86,,,,,,,,,-17.4,,,,-8.67,-44.28,-36.37,,,-22.24,,-23.69,,-7.643,-23.44,,,,-11.36,,,-7.225,-15.06,-34.51,-16.04,-26.14,-20.18,-29.78,-4.941,-17.81,-14.22,-13.08,0.3096,-9.959,-101.4,-8.533,,,-20.07,-18.56,-21.79,,-15.05,,,-12.73,,,,-18.09,-19.02,-25.98,-58.02,-90.89,,,,,,,,,,,-7.017,,,,-12.61,,-7.024,,,,,0.8392,-28.16,,-6.118,,,,,,,,,-25.27,-8.651,,,,,,,,,-9.923,-55.03,-3.36,-12.65,-11.62,,-14.98,0.6561,,,,,-6.59,,
4.14E+14,6/15/1999,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.44,460,,259,7.1,,,2.4,,,,,52,25,11,1,1.2,1,0.45,12,1900,20,,,,,-22.3,,,,,,,,,-0.7956,,,,,-4.096,,,-16.06,-25.23,-57.59,,-12.46,,-4.73,,,,,,,,-16.81,,-17.95,,-6.574,,-12.8,,-28.11,-13.07,-21.25,-20.48,-37.58,-48.95,-47.25,-35.12,-35.48,-33.03,-39.67,-53.18,-20.59,-17.01,-20.81,,,-25.6,-6.411,-4.921,0.352,,-35.83,-8.12,,,,,,,,,,,0.04833,,,,,,-7.587,,,,-5.008,,,-6.397,-5.217,-4.221,,,-12.03,,-2.776,,,,-2.157,-13.18,,-1.166,-11.94,,,,,,-3,,-3.742,-9.394,,-7.431,,,,-6.754,,,-24.69,,,,,,,,,-17.42,,,,-8.728,-44.11,-36.19,,,-22.83,,-23.54,,-7.701,-23.63,,,,-11.56,,,-7.265,-15.04,-35.71,-16.3,-26,-20.04,-29.64,-4.446,-17.85,-14.28,-13.25,-1.089,-9.999,-101.4,-8.734,,,-19.91,-18.4,-21.63,,-15.09,,,-13.34,,,,-18.69,-19.42,-25.96,-58.63,-91.89,,,,,,,,,,,-7.074,,,,-12.8,,-7.415,,,,,0.6402,-29.14,,-6.518,,,,,,,,,-25.11,-10.72,,,,,,,,,-9.885,-54.58,-4.81,-13.25,-11.66,,-18.05,0.4571,,,,,-6.982,,
4.14E+14,8/6/2001,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.42,435,,190,7,,,2.1,,,,,47,24,12,1,1,1,0.5,16,160,20,,,1,21,-22.75,,,,,,,,,-0.6704,,,,,-4.126,,,-16.25,-25.74,-60.63,,-12.44,,-4.76,,,,,,,,-16.98,,-17.87,,-6.79,,-13.04,,-28.55,-13.18,-21.61,-20.84,-38.05,-49.55,-48.17,-35.71,-35.93,-33.48,-40.12,-53.88,-20.78,-17.2,-21,,,-25.85,-6.401,-4.951,0.4773,,-36,-8.515,,,,,,,,,,,0.1737,,,,,,-7.793,,,,-5.098,,,-6.401,-7.635,-5.493,,,-13,,-4.048,,,,-3.304,-14.25,,-1.109,-12.25,,,,,,-6.564,,-3.772,-9.433,,-8.693,,,,-6.758,,,-24.89,,,,,,,,,-17.5,,,,-8.733,-44.35,-36.44,,,-23.19,,-24.76,,-7.705,-23.87,,,,-11.76,,,-8.326,-14.92,-36.4,-16.71,-26.17,-20.21,-29.82,-4.364,-18.04,-14.28,-13.36,-4.402,-9.91,-100.8,-8.931,,,-20.06,-18.55,-21.79,,-15.08,,,-13.67,,,,-18.56,-19.42,-25.72,-58.75,-92.02,,,,,,,,,,,-7.078,,,,-13.04,,-7.531,,,,,0.7655,-29.61,,-6.589,,,,,,,,,-25.26,-10.83,,,,,,,,,-9.961,-55.11,-4.954,-13.52,-11.57,,-18.6,0.5824,,,,,-7.098,,
4.14E+14,7/24/2002,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.41,438,,,7.2,,,2.1,,,0.34,,46,23,11,1,1.3,1,0.46,15,1600,20,100,,1,17,-21.64,-59.15,-40,,0.9046,-0.5353,0.9046,-4.924,-1.857,-0.6986,-5.062,-0.02551,0.419,,-4.132,-0.06335,-3.088,-16.03,-23.29,-51.94,,-12.44,,-4.766,7.49,6.662,6.866,7.461,6.9,-2.9,,-16.77,,-17.96,0.612,-6.408,,-12.65,-9.505,-27.94,-12.48,-20.86,-20.08,-36.93,-48.41,-46.77,-34.23,-34.15,-31.69,-38.34,-51.7,-20.56,-16.98,-20.78,-2.498,,-25.52,-6.066,-4.957,0.4492,1.65,-35.79,-7.426,-6.69,-10.21,7.51,7.832,2.654,2.758,-2.312,-9.921,-7.251,-1.182,0.1455,,2.591,-0.9467,,1.553,-7.076,,,,-4.745,,,-6.416,-4.864,-4.093,,,-12.09,,-2.649,,,,-1.933,-13.24,16.78,-1.203,-11.51,,-19.75,2.504,,,-2.422,-10.49,-3.778,-9.356,,-6.959,,-0.3,5.295,-6.774,,,-24.67,5.595,6.658,-1.454,,,2.954,,,-17.4,,-1.9,6.846,-8.748,-44.03,-36.11,,0.7412,-22.43,3.871,-23.53,1.914,-7.721,-23.48,,,,-11.36,2.59,2.956,-7.323,-15.12,-34.9,-16.03,-25.96,-20,-29.61,-4.467,-17.75,-14.3,-13.18,-0.3163,-9.982,-101.9,-8.532,,-19.86,-19.84,-18.32,-21.56,0.3907,-15.08,,,-12.92,3.917,1.377,9.261,-18.29,-19.12,-26.03,-58.13,-91.1,,-3.798,,,,,,,6.266,-28.28,-7.094,2.15,-4.562,,-12.65,-1.671,-7.168,,,6.517,,0.7374,-28.5,,-6.218,-2.665,-6.193,1.635,-2.938,-3.765,-3.562,-2.965,-3.528,-25.04,-9.468,,0.0244,,,,-8.312,,,-9.846,-54.47,-3.922,-12.75,-11.64,,-16.14,0.5543,,-0.7452,-1.12,2.298,-6.735,,-2.361
4.14E+14,8/21/2003,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.39,430,,,,,,1.9,,,0.33,,,,,,1,1,0.49,15,,,,,,,,,,,,,,,,-0.6982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4497,,,,,,,,,,,,,,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5548,,,,,,,
4.14E+14,7/8/2004,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.38,460,,,7.2,,,2,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.14E+14,8/31/2005,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.36,420,,,7.5,,,1.6,,,0.25,,,,12,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.23,,,,,,,,,,,-9.692,-102.4,,,,,,,,,,,,,,,,,-25.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.912,,,,-11.35,,,,,,,,,,
4.14E+14,6/21/2006,,350SLRN,Silurian System,41.6564197,-90.5859712,515,,7.35,470,,,,,,1.9,,,0.26,,,,11,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.912,,,,-11.43,,,,,,,,,,
4.14E+14,3/25/1980,,358ALXD,Alexandrian Series,41.6755751,-91.35016339,450,,7.33,,,455,,,,,,0.023,,,110,32,17,0.8,19,39,0.3,15,2800,190,,,10,10,,,,,,,,,,-0.6963,,,,,-2.304,,,-13.41,,,,-11.15,,-2.938,,,,,,,,-14.38,,-14.5,,,,,,,,,,,,,,,,,,-17.94,-14.36,-18.16,,,-22.08,,-3.129,0.4521,,-33.41,,,,,,,,,,,,0.1483,,,,,,,,,,,,,-4.816,,,,,-12.29,,,,,,,-11.55,,-1.271,,,,,,,,,-1.949,-8.028,,,,,,-5.174,,,-22.05,,,,,,,,,-14.76,,,,-7.151,-40.6,-32.68,,,,,-21.05,,-6.122,,,,,,,,-5.626,,,,-23.56,-17.61,-27.22,-4.766,,-12.7,,,-8.12,,,,,-16.61,-15.1,-18.33,,-12.65,,,,,,,,,,,,,,,,,,,,,,-5.494,,,,,,,,,,,0.7404,,,,,,,,,,,,-21.81,,,,,,,,,,-8.805,-47.06,,,-9.783,,,0.5572,,,,,,,
4.14E+14,7/21/1983,,358ALXD,Alexandrian Series,41.6755751,-91.35016339,450,,7.31,745,,428,7.6,,,,,,,,100,33,17,2.1,13,26,0.3,19,1800,80,,,10,10,-18.35,,,,,,,,,-0.5954,,,,,-2.504,,,-13.76,-16.09,-28.31,,-10.48,,-3.138,,,,,,,,-14.68,,-14.81,,-5.498,,-11.57,,-24.58,-9.994,-18.59,-17.81,-33.47,-45.06,-41.23,-29.58,-28.09,-25.63,-32.29,-44.57,-18.3,-14.72,-18.52,,,-22.13,-4.771,-3.33,0.5532,,-33.71,-4.486,,,,,,,,,,,0.2494,,,,,,-4.872,,,,-3.731,,,-4.963,-3.154,-3.29,,,-12.48,,-1.846,,,,-1.025,-11.9,,-1.301,-9.592,,,,,,0.1985,,-2.149,-8.19,,-4.861,,,,-5.321,,,-22.41,,,,,,,,,-14.65,,,,-7.298,-40.65,-32.73,,,-20.16,,-21.56,,-6.269,-22.4,,,,-10.01,,,-5.977,-13.87,-30.53,-13.61,-23.87,-17.91,-27.52,-4.744,-16.25,-12.85,-11.28,2.512,-8.284,-92.46,-7.177,,,-17.3,-15.79,-19.03,,-13.19,,,-10.83,,,,-16.93,-17.87,-23.21,-55.73,-87.46,,,,,,,,,,,-5.641,,,,-11.57,,-5.979,,,,,0.8415,-25.04,,-4.76,,,,,,,,,-22.51,-5.198,,,,,,,,,-8.547,-48.03,-0.7723,-9.938,-9.948,,-8.576,0.6583,,,,,-5.546,,
4.14E+14,8/9/1988,,358ALXD,Alexandrian Series,41.6755751,-91.35016339,450,,7.3,790,,453,7.3,,,0.9,,,,,110,29,25,2.2,14,41,0.3,18,2800,100,,,,,-20.2,,,,,,,,,-0.6178,,,,,-2.28,,,-13.67,-20.92,-44.63,,-10.25,,-2.914,,,,,,,,-14.69,,-14.16,,-6.163,,-12.14,,-25.06,-11.2,-19.74,-18.97,-35.22,-46.78,-42.84,-31.92,-31.07,-28.61,-35.26,-48.11,-18.21,-14.62,-18.43,,,-22.08,-5.384,-3.105,0.5309,,-33.72,-6.523,,,,,,,,,,,0.2271,,,,,,-6.148,,,,-4.417,,,-4.834,-4.009,-3.707,,,-12.29,,-2.262,,,,-1.464,-11.53,,-1.267,-10.94,,,,,,-1.095,,-1.924,-7.993,,-5.89,,,,-5.192,,,-22.32,,,,,,,,,-14.47,,,,-7.17,-40.6,-32.68,,,-21.32,,-21.31,,-6.141,-22.97,,,,-10.52,,,-5.601,-13.36,-32.94,-14.61,-23.87,-17.92,-27.53,-4.806,-16.59,-12.72,-11.48,1.174,-7.759,-89.17,-7.689,,,-17.15,-15.64,-18.88,,-12.9,,,-12.08,,,,-17.25,-18.16,-22.03,-56.29,-88.31,,,,,,,,,,,-5.512,,,,-12.14,,-6.57,,,,,0.8193,-26.78,,-5.293,,,,,,,,,-22.36,-7.988,,,,,,,,,-8.497,-47.94,-2.854,-10.98,-9.423,,-13.21,0.636,,,,,-6.136,,
4.14E+14,8/9/1988,,358ALXD,Alexandrian Series,41.6755751,-91.35016339,450,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
